cohort_id,First_Author,Publication_Title,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
189,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,2.2662332591841976e-17,NA,NA,NA,148.20291995148918,-292.40583990297836,-293.63325118073857,1.540743955509789e-33,3,4
190,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,0,NA,NA,NA,Inf,-Inf,-Inf,0,3,4
191,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,1.812986607347358e-16,NA,NA,NA,139.8851537847698,-275.7703075695396,-276.99771884729984,9.86076131526265e-32,3,4
192,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,9.06493303673679e-17,NA,NA,NA,142.6577425070096,-281.3154850140192,-282.5428962917794,2.4651903288156624e-32,3,4
193,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,4.532466518368395e-17,NA,NA,NA,145.4303312292494,-286.8606624584988,-288.088073736259,6.162975822039156e-33,3,4
194,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,0,NA,NA,NA,Inf,-Inf,-Inf,0,3,4
195,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,4.532466518368395e-17,NA,NA,NA,145.4303312292494,-286.8606624584988,-288.088073736259,6.162975822039156e-33,3,4
257,Maltby,The effect of coal-mine effluent on fungal assemblages and leaf breakdown,0.9786396072595303,0.9715194763460403,0.14501257830673786,NA,NA,NA,2.623349185608237,-1.2466983712164739,-2.4741096489766927,0.06308594360150332,3,4
290,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9895737559486981,0.9874885071384377,0.07002718938060398,NA,NA,NA,7.986563626905488,-11.973127253810976,-12.389608315354867,0.024519036262734877,5,6
291,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9907268744634867,0.9888722493561841,0.05883091949680189,NA,NA,NA,9.031859794163145,-14.06371958832629,-14.48020064987018,0.017305385444195923,5,6
292,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9919638622138641,0.9903566346566369,0.054443109047616574,NA,NA,NA,9.496927430421817,-14.993854860843634,-15.410335922387524,0.014820260613853348,5,6
293,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9695681532423212,0.9634817838907854,0.183355031877638,NA,NA,NA,2.2113191155398626,-0.4226382310797252,-0.8391192926236153,0.1680953385742482,5,6
294,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9855578522370331,0.9819473152962913,0.07676758922296971,NA,NA,NA,6.298029928401934,-8.596059856803867,-9.377184031935666,0.023573051020426464,4,5
295,Martinez,Effects of flow scarcity on leaf-litter processing under oceanic climate conditions in calcareous streams,0.9517409797076437,0.9396762246345547,0.22393808033420398,NA,NA,NA,0.9450946743599159,2.109810651280168,1.3286864761483688,0.2005930552950736,4,5
296,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9984206237625984,0.997894165016798,0.009351501271565775,NA,NA,NA,13.588483551151684,-23.17696710230337,-24.404378380063587,2.623517280962889e-4,3,4
297,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9965410349448924,0.9956762936811155,0.02061951352270828,NA,NA,NA,12.870753178106183,-21.741506356212366,-22.522630531344166,0.001700657351652598,4,5
298,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9980406688465028,0.9975508360581284,0.012903298708752396,NA,NA,NA,15.214527644496918,-26.429055288993837,-27.210179464125638,6.659804702691649e-4,4,5
299,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9992379915294852,0.9990474894118565,0.0036756647589362393,NA,NA,NA,21.4932725917122,-38.9865451834244,-39.7676693585562,5.4042045680343204e-5,4,5
300,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9997276700699167,0.9996595875873959,0.0018641813134729183,NA,NA,NA,24.887832693626226,-45.77566538725245,-46.55678956238425,1.390068787800646e-5,4,5
301,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9996816951724883,0.9996021189656104,0.001519244197284914,NA,NA,NA,25.910877744344262,-47.821755488688524,-48.602879663820325,9.23241172393553e-6,4,5
302,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9917930586090344,0.989741323261293,0.04235635301072824,NA,NA,NA,9.271350497637457,-14.542700995274913,-15.323825170406712,0.007176242561477707,4,5
303,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9870009705479794,0.9837512131849743,0.07389528641527333,NA,NA,NA,6.48869739399591,-8.97739478799182,-9.758518963123619,0.021842053417581116,4,5
304,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.999357482855706,0.9991968535696325,0.004343174305867008,NA,NA,NA,20.65891516894059,-37.31783033788118,-38.098954513012984,7.545265220457346e-5,4,5
305,Martinez,In-stream litter decomposition along an altitudinal gradient: does substrate quality matter?,0.9979381266199192,0.9974226582748991,0.010165456798022634,NA,NA,NA,16.40696568521986,-28.813931370439718,-29.59505554557152,4.133460476498584e-4,4,5
